item,name,label,predicted_label,confidence
http://www.wikidata.org/entity/Q8538,Image Engine,cultural exclusive,cultural agnostic,0.9330841898918152
http://www.wikidata.org/entity/Q3298,Intercontinental Champions' Supercup,cultural representative,cultural exclusive,0.405589000787586
http://www.wikidata.org/entity/Q400,Jenna Jameson,cultural exclusive,cultural representative,0.9267405271530152
http://www.wikidata.org/entity/Q6418545,Kitty Foyle,cultural exclusive,cultural representative,0.9035933166742324
http://www.wikidata.org/entity/Q284465,lectionary,cultural representative,cultural agnostic,0.9316810965538024
http://www.wikidata.org/entity/Q3086695,Les Trois Accords,cultural exclusive,cultural representative,0.6604933366179466
http://www.wikidata.org/entity/Q493858,"Lions' Commentary on UNIX 6th Edition, with Source Code",cultural agnostic,cultural exclusive,0.7910281270742416
http://www.wikidata.org/entity/Q84,London,cultural representative,cultural exclusive,0.8766392022371292
http://www.wikidata.org/entity/Q131165,Manichaeism,cultural agnostic,cultural representative,0.7289656475186348
http://www.wikidata.org/entity/Q8362,manuscript illumination,cultural representative,cultural agnostic,0.9230546206235886
http://www.wikidata.org/entity/Q203827,Melbourne shuffle,cultural representative,cultural exclusive,0.7762297242879868
http://www.wikidata.org/entity/Q220011,Mike DeCarlo,cultural exclusive,cultural representative,0.8407901078462601
http://www.wikidata.org/entity/Q194285,Nebula Award,cultural exclusive,cultural representative,0.7939625754952431
http://www.wikidata.org/entity/Q265169,Nitro Records,cultural exclusive,cultural representative,0.6241348851472139
http://www.wikidata.org/entity/Q1377546,nunsploitation,cultural representative,cultural exclusive,0.6883359588682652
http://www.wikidata.org/entity/Q2425502,onnagata,cultural exclusive,cultural representative,0.6346235498785973
http://www.wikidata.org/entity/Q1344,opera,cultural representative,cultural agnostic,0.6577200219035149
http://www.wikidata.org/entity/Q29536,paganism,cultural representative,cultural agnostic,0.9419125318527222
http://www.wikidata.org/entity/Q7845,pataphysics,cultural representative,cultural agnostic,0.9503118544816972
http://www.wikidata.org/entity/Q54829,RTVE,cultural exclusive,cultural representative,0.6780689023435116
http://www.wikidata.org/entity/Q145234,Seiun Awards,cultural exclusive,cultural representative,0.532057411968708
http://www.wikidata.org/entity/Q15761,servus,cultural representative,cultural agnostic,0.5332081159576774
http://www.wikidata.org/entity/Q2278256,Shepperton Studios,cultural exclusive,cultural agnostic,0.5102041512727737
http://www.wikidata.org/entity/Q23589,Showtime,cultural exclusive,cultural representative,0.8879431486129761
http://www.wikidata.org/entity/Q737377,Singer House,cultural representative,cultural exclusive,0.9601706564426422
http://www.wikidata.org/entity/Q124619225,Siuuu,cultural representative,cultural exclusive,0.813564658164978
http://www.wikidata.org/entity/Q884,South Korea,cultural representative,cultural exclusive,0.4431407377123832
http://www.wikidata.org/entity/Q236913,space rock,cultural representative,cultural agnostic,0.7131122462451458
http://www.wikidata.org/entity/Q182361,Studio 4°C,cultural exclusive,cultural representative,0.7370669171214104
http://www.wikidata.org/entity/Q7679703,Talk to Me,cultural exclusive,cultural agnostic,0.7794048264622688
http://www.wikidata.org/entity/Q270844,The World,cultural representative,cultural agnostic,0.9049046337604524
http://www.wikidata.org/entity/Q3267562,Tina Nordström,cultural representative,cultural exclusive,0.5892196707427502
http://www.wikidata.org/entity/Q28543,transport in Hungary,cultural agnostic,cultural exclusive,0.9565203189849854
http://www.wikidata.org/entity/Q177764,Voodoo Church,cultural representative,cultural exclusive,0.5484907766804099
http://www.wikidata.org/entity/Q375,waffle,cultural representative,cultural agnostic,0.7389129251241684
http://www.wikidata.org/entity/Q59183,Wanderer,cultural exclusive,cultural representative,0.4998033493757248
http://www.wikidata.org/entity/Q156316,Würzburg Residence,cultural representative,cultural exclusive,0.9586295634508132
http://www.wikidata.org/entity/Q377,Yanka Kupala,cultural representative,cultural exclusive,0.8488318100571632
http://www.wikidata.org/entity/Q615394,Yếm,cultural exclusive,cultural representative,0.7565494775772095
